Tabla;Codigo;Nombre;Descripcion;Habilitado;Aplicacion;IsStandardGEL;IsStandardMSPS;Extra_I:Marca;Extra_II:Referencias;Extra_III:RegistroSanitario;Extra_IV:EstadoRegistro;Extra_V:Titular;Extra_VI:Fabricante;Extra_VII:Importador;Extra_VIII:NivelRiesgo;Extra_IX:PresentacionComercial;Extra_X:UnidadUso;ValorRegistro;UsuarioResponsable;Fecha_Actualizacion;IsPublicPrivate
DispositivosMedicosLibertadVigilada;19913478-19;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;50;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-2;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-20;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI LUBRICADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;100;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-21;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-22;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-23;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-24;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-25;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;18;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-26;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-27;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;36;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-28;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;48;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-29;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;50;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-3;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-30;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI COLORES;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;100;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-4;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-5;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;18;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-6;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-7;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;36;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-8;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;48;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19913478-9;CONDONES TAHITI Y CONDONES HAWAII;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TAHITI;TAHITI TEXTURIZADO;INVIMA 2020DM-004780-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;50;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-1;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-10;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-11;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;4;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-12;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-13;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;8;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-14;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-15;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-16;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES NO LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;396;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-17;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-18;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-19;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;4;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-2;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-20;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-21;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;8;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-22;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-23;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-24;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;PUNTO G;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;396;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-25;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-26;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-27;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;4;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-28;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-29;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;8;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-3;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;4;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-30;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-31;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-32;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY LUBRICADO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;396;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-33;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;1;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-34;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;3;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-35;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;4;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-36;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-37;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;8;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-38;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;12;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-39;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY ULTRA SENSITIVO;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;24;1 Condon;;;2025-03-25 05:55:09 PM;
DispositivosMedicosLibertadVigilada;19924852-4;TODAY CONDONES Y TODAY CONDONES LUBRICADOS-TODAY;ANTICONCEPTIVO DE BARRERA;SI;;False;False;TODAY;TODAY CONDONES LUBRICADOS;INVIMA 2021DM-0000779-R2;Vigente;PFIZER S.A.S.;SURETEX LIMITED;WYETH CONSUMER HEALTHCARE LTD.,PFIZER S.A.S.;IIb;6;1 Condon;;;2025-03-25 05:55:09 PM;
