ref,codigo,descripcion,uvr,tipo
01121,385102,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CAROTIDA INTRACEREBRAL",350.0,quirurgico
01121,385103,"OCLUSION, PINZAMIENTO O LIGADURA DE CAROTIDA EN SENO CAVERNOSO",350.0,quirurgico
01122,385111,"OCLUSION, PINZAMIENTO O LIGADURA DE LESION EN ARTERIA VERTEBRAL",350.0,quirurgico
01123,385101,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL ANTERIOR",685.0,quirurgico
01123,385105,"OCLUSION, PINZAMIENTO O LIGADURA DE VASOS MENINGEOS Y/O SENOS DURALES",685.0,quirurgico
01124,385110,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL POSTERIOR",685.0,quirurgico
01125,383101,RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER I Y II,855.0,quirurgico
01125,383102,"RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER III, IV Y V",855.0,quirurgico
01125,383103,RESECCION DE MALFORMACIONES ARTERIO VENOSAS DE LINEA MEDIA E INTRAVENTRICULAR,855.0,quirurgico
01126,383104,RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER I Y II,880.0,quirurgico
01126,383105,"RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER III, IV Y V",880.0,quirurgico
01127,381203,ENDARTERECTOMIA DE CAROTIDA INTERNA PORCION CERVICAL (76),365.0,quirurgico
01128,381101,ENDARTERECTOMIA DE LA CAROTIDA INTERNA PORCION INTRACRANEAL (76),560.0,quirurgico
01128,380101,TROMBOEMBOLECTOMIA DE CEREBRAL MEDIA (367),560.0,quirurgico
01128,380102,TROMBOEMBOLECTOMIA DE COMUNICANTE ANTERIOR (367),560.0,quirurgico
01128,380103,TROMBOEMBOLECTOMIA DE CAROTIDA INTERNA SUPRACLINOIDEA (367),560.0,quirurgico
01128,380104,TROMBOEMBOLECTOMIA DE OFTALMICA (367),560.0,quirurgico
01129,383201,RESECCION DE MALFORMACION ARTERIOVENOSA DE CUERO CABELLUDO (172),165.0,quirurgico
01131,015101,"RESECCION TUMOR OSEO, POR CRANEOTOMIA",85.0,quirurgico
01131,015102,"RESECCION TUMOR OSEO, POR CRANIECTOMIA",100.0,quirurgico
01131,020401,"CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA, CON INJERTO AUTOLOGO O HETEROLOGO",240.0,quirurgico
01132,016101,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMIA",190.0,quirurgico
01132,016102,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA",305.0,quirurgico
01132,016201,"RESECCION TUMOR DE LA HOZ , POR CRANEOTOMIA Y PLASTIA",305.0,quirurgico
01132,016301,"RESECCION TUMOR DEL TENTORIO, POR CRANEOTOMIA",190.0,quirurgico
01133,015201,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTERIOR",730.0,quirurgico
01133,015203,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA ANTEROLATERAL Y RINOTOMIA LATERAL",730.0,quirurgico
01133,015204,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA TRANSZIGOMATICA Y TRANSPALATAL",730.0,quirurgico
01133,015302,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR",730.0,quirurgico
01133,015305,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBFRONTAL EXTENDIDA",730.0,quirurgico
01133,015306,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA POR VIA SUBTEMPORAL",700.0,quirurgico
01133,015308,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA SUBFRONTAL",730.0,quirurgico
01133,015310,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL",820.0,quirurgico
01133,017202,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA OSTEOPLASTICA",815.0,quirurgico
01133,017204,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, CON ESTIMULACION CORTICAL",700.0,quirurgico
01133,017601,"RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA",700.0,quirurgico
01134,015202,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTEROLATERAL",730.0,quirurgico
01134,015301,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL",730.0,quirurgico
01134,015304,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA",730.0,quirurgico
01134,015307,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA",730.0,quirurgico
01134,015309,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR ORBITOTOMIA LATERAL",730.0,quirurgico
01134,017201,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA",730.0,quirurgico
01135,015311,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL ENDOSCOPICA (134)",685.0,quirurgico
01135,071400,BIOPSIA DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),635.0,quirurgico
01135,076200,ESCISION PARCIAL DE HIPOFISIS VIA TRANSESFENOIDAL SOD (134),635.0,quirurgico
01135,076500,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),685.0,quirurgico
01136,017401,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA",945.0,quirurgico
01136,017801,"RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA , POR CRANEOTOMIA",945.0,quirurgico
01136,075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,945.0,quirurgico
01136,075400,ESCISION TOTAL DE GLANDULA PINEAL (PINEALECTOMIA) SOD,945.0,quirurgico
01136,076100,ESCISION PARCIAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,945.0,quirurgico
01136,076400,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,945.0,quirurgico
01137,017301,"RESECCION TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
01137,017501,"RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
01137,017504,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
01137,017505,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA DE FOSA MEDIA",945.0,quirurgico
01137,017508,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
01137,017509,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBTEMPORAL",945.0,quirurgico
01138,015401,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA EXTREMO LATERAL",945.0,quirurgico
01138,015402,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FRONTO ORBITO ETMOIDAL",945.0,quirurgico
01138,015403,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",945.0,quirurgico
01138,015404,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSORAL",945.0,quirurgico
01138,015405,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA MAXILOTOMIA EXTENDIDA",945.0,quirurgico
01138,015406,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSLABERINTICA",945.0,quirurgico
01138,015407,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSCOCLEAR",945.0,quirurgico
01138,015408,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FOSA MEDIA",945.0,quirurgico
01138,015409,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA SUBOCCIPITAL RETROMASTOIDEA",945.0,quirurgico
01138,017701,"RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
01140,028302,COLOCACION EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,290.0,quirurgico
01140,028304,IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION,290.0,quirurgico
01141,028303,IMPLANTACION PARENQUIMATOSA DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,230.0,quirurgico
01143,019100,LOBECTOMIA POR CRANEOTOMIA SOD,375.0,quirurgico
01143,019200,LOBECTOMIA POR CRANIECTOMIA SOD,375.0,quirurgico
01145,018101,HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA,610.0,quirurgico
01145,018201,HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL,610.0,quirurgico
01147,044101,"DESCOMPRESION NEUROVASCULAR DE NERVIO TRIGEMINAL, POR CRANEOTOMIA SUBOCCIPITAL",355.0,quirurgico
01147,044203,DESCOMPRESION NEUROVASCULAR DE NERVIOS IX Y X,355.0,quirurgico
01147,044204,DESCOMPRESION NEUROVASCULAR DE NERVIO ACUSTICO VESTIBULAR,355.0,quirurgico
01147,044205,DESCOMPRESION INTRACANALICULAR DE NERVIO FACIAL,355.0,quirurgico
01147,044206,"DESCOMPRESION NEUROVASCULAR DE NERVIO FACIAL , POR CRANEOTOMIA SUBOCCIPITAL",355.0,quirurgico
01147,044207,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSLABERINTICA,355.0,quirurgico
01147,044208,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSMASTOIDEA,355.0,quirurgico
01148,013202,"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) , POR CRANEOTOMIA (132)",335.0,quirurgico
01150,013106,"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL",210.0,quirurgico
01150,022101,DERIVACION DE VENTRICULO A CISTERNA MAGNA,210.0,quirurgico
01150,022202,DERIVACION VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL [TORKILSEN],210.0,quirurgico
01150,022300,"COLOCACION DE CATETER VENTRICULO PERITONEAL, SIN VALVULA SOD",210.0,quirurgico
01150,023201,DERIVACION VENTRICULOATRIAL,210.0,quirurgico
01150,023401,VENTRICULOPERITONEOSTOMIA,210.0,quirurgico
01150,023402,DERIVACION CISTO PERITONEAL [QUISTE VENTRICULAR A PERITONEO],210.0,quirurgico
01150,023500,DERIVACION VENTRICULAR AL APARATO URINARIO SOD,210.0,quirurgico
01150,549003,COLOCACION DE CATETERES PARA DERIVACION VENTRICULOPERITONEAL Y PERITONEOVENTRICULAR,210.0,quirurgico
01151,013105,"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL",210.0,quirurgico
01152,024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,120.0,quirurgico
01152,024201,REEMPLAZO PARCIAL DE DERIVACION,120.0,quirurgico
01153,024202,REEMPLAZO TOTAL DE DERIVACION,140.0,quirurgico
01154,024300,RETIRO DE DERIVACION SOD,125.0,quirurgico
01155,037100,DERIVACION SIRINGO PERITONEAL ESPINAL SOD,190.0,quirurgico
01155,037200,DERIVACION SIRINGO SUBDURAL ESPINAL SOD,190.0,quirurgico
01155,037300,DERIVACION LUMBO PERITONEAL SOD,190.0,quirurgico
01155,037400,DERIVACION LUMBAR EXTERNA SOD,190.0,quirurgico
01155,037500,DERIVACION SIRINGO PLEURAL ESPINAL SOD,190.0,quirurgico
01156,022201,COLOCACION DE CATETER VENTRICULAR AL EXTERIOR,150.0,quirurgico
01161,011304,BIOPSIA ESTEREOTAXICA DE CEREBRO (131),250.0,quirurgico
01161,016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA (2),250.0,quirurgico
01161,017002,"DRENAJE DE COLECCIONES INTRACEREBRALES , GUIADO POR ESTEREOTAXIA (2)",250.0,quirurgico
01161,017005,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR , GUIADO POR ESTEREOTAXIA (2)",250.0,quirurgico
01163,013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION [TERMOLESION] ESTEREOTAXICA,420.0,quirurgico
01163,014101,TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS NUCLEOS],420.0,quirurgico
01163,014201,PALIDOTOMIA POR ESTEREOTAXIA,420.0,quirurgico
01165,028301,IMPLANTACION DE NEUROESTIMULADOR POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA,320.0,quirurgico
01165,028601,INJERTO INTRACEREBRAL DE TEJIDO SUPRARRENAL,320.0,quirurgico
01170,012101,CRANEALIZACION DE SENO FRONTAL,230.0,quirurgico
01170,021101,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, POR CRANEOTOMIA",135.0,quirurgico
01170,021102,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, CON PLASTIA DURAL",135.0,quirurgico
01170,021103,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, POR CRANEOTOMIA",135.0,quirurgico
01170,021104,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, CON PLASTIA AUTOLOGA O HETEROLOGA, POR CRANEOTOMIA",135.0,quirurgico
01170,021202,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR DUROPLASTIA",135.0,quirurgico
01170,035401,PLASTIA O INJERTO DE MENINGE ESPINAL,135.0,quirurgico
01171,020500,"INSERCION O SUSTITUCION DE PLACA O MALLA CRANEAL (METALICA, ACRILICA) SOD",190.0,quirurgico
01171,020601,CORRECCION DISPLASIA FIBROSA POR CRANEOPLASTIA,190.0,quirurgico
01172,021201,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR CRANEOTOMIA Y CRANEOPLASTIA",365.0,quirurgico
01172,021204,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA TRANSESFENOIDAL",325.0,quirurgico
01172,021207,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR VIA TRANSESFENOIDAL",325.0,quirurgico
01173,021203,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA SUBFRONTAL",250.0,quirurgico
01173,021206,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR CRANIECTOMIA",250.0,quirurgico
01173,021208,CORRECCION FISTULA EN LCR EN BASE DE CRANEO POSTERIOR POR VIA SUBOCCIPITAL,250.0,quirurgico
01174,011302,BIOPSIA ABIERTA ( CRANEOTOMIA) DE CEREBRO,210.0,quirurgico
01174,011303,BIOPSIA DE CEREBRO POR TREPANACION,210.0,quirurgico
01174,071300,BIOPSIA DE HIPOFISIS POR VIA TRANSFRONTAL SOD,210.0,quirurgico
01174,071700,BIOPSIA DE GLANDULA PINEAL SOD,210.0,quirurgico
01175,017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,385.0,quirurgico
01176,168401,DESCOMPRESIÓN DE ÓRBITA VIA TECHO DE ORBITA (TECNICA TRANSCRANEANA DE NAFZINGHER),350.0,quirurgico
01177,168402,DESCOMPRESIÓN DE ÓRBITA VIA LATERAL (TECNICA DE KROMLIEN),275.0,quirurgico
01177,168403,DESCOMPRESIÓN DE ÓRBITA VIA INFERIOR Y MEDIAL (TECNICA DE WALSH-OUGURA)VIA TRANSMAXILAR ENDOSCOPICA,275.0,quirurgico
01179,015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA,315.0,quirurgico
01180,028201,IMPLANTACION DE CATETER INTRACEREBRAL (3),75.0,quirurgico
01180,028202,IMPLANTACION DE DISPOSITIVO EXTRADURAL,75.0,quirurgico
01180,028203,"IMPLANTACION DE DISPOSITIVO INTRACEREBRAL ( ELECTRODOS, TRASDUCTORES DE PIC) (3)",75.0,quirurgico
01200,035101,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON INSTRUMENTACION VIA POSTERIOR",285.0,quirurgico
01200,035103,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON DESCOMPRESION VIA ANTERIOR",270.0,quirurgico
01201,035107,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE CELE , DUROPLASTIA Y PLASTIA DE PIEL",345.0,quirurgico
01202,035104,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON FUSION OSEA E INJERTO AUTOLOGO O HETEROLOGO",435.0,quirurgico
01202,035105,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE TABIQUE OSEO",270.0,quirurgico
01204,035108,CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL [SENO DERMICO],155.0,quirurgico
01210,934100,TRACCION ESPINAL CON EMPLEO DE DISPOSITIVO CRANEAL SOD,65.0,quirurgico
01212,793930,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),425.0,quirurgico
01212,793931,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),425.0,quirurgico
01213,778931,RESECCION DE APOFISIS ODONTOIDES POR ABORDAJE TRANSORAL (94),450.0,quirurgico
01214,792932,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA POSTERIOR,310.0,quirurgico
01214,793932,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
01214,793933,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
01214,793937,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
01214,793938,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
01214,793942,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
01214,793943,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
01214,793946,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
01214,793947,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
01215,792931,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA ANTERIOR,360.0,quirurgico
01215,792935,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA TORACICA O LUMBAR VIA ANTERIOR,360.0,quirurgico
01215,793935,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375.0,quirurgico
01215,793936,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375.0,quirurgico
01215,793940,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375.0,quirurgico
01215,793941,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375.0,quirurgico
01215,793944,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375.0,quirurgico
01215,793945,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375.0,quirurgico
01216,793950,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97)",475.0,quirurgico
01216,793951,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION MODULAR (97)",475.0,quirurgico
01217,028400,COLOCACION DE TRACTOR CEFALICO [HALO CHALECO] SOD,55.0,quirurgico
01217,028500,EXTRACCIÓN DE TRACTOR CEFALICO [HALO CHALECO] SOD,35.0,quirurgico
01218,030101,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA,220.0,quirurgico
01218,030102,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR HEMILAMINECTOMIA,220.0,quirurgico
01218,030103,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINOTOMIA,220.0,quirurgico
01218,035402,ESQUIRLECTOMIA CON PLASTIA O INJERTO DE MENINGE ESPINAL,300.0,quirurgico
01220,383501,"RESECCION CON ANASTOMOSIS EN VASOS ESPINALES, SEGMENTO CERVICAL (77)",585.0,quirurgico
