ref,codigo,descripcion,valor,tipo
902102,902103,"CUERPOS DE HEINZ, PRUEBA INDUCIDA POR FENILHIDRAZINA",22810,diagnostico
902103,901209,"CULTIVO DE LÍQUIDOS CORPORALES: BILIS, L.C.R, PERITONEAL, PLEURAL, ASCÍTICO, SINOVIAL, OTROS DIFERENTE A ORINA.",12440,diagnostico
901209,906701,CULTIVO MIXTO DE LINFOCITOS,217990,diagnostico
906701,901211,CULTIVO PARA HONGOS EN MÉDULA ÓSEA (110),45585,diagnostico
901211,901212,CULTIVO PARA HONGOS MICOSIS PROFUNDA,44500,diagnostico
901212,901213,CULTIVO PARA HONGOS MICOSIS SUPERFICIAL,11365,diagnostico
901213,901214,CULTIVO PARA MICOBACTERIAS EN MÉDULA ÓSEA (110),35605,diagnostico
901214,901215,CULTIVO PARA MICROORGANISMOS AEROBIOS EN MÉDULA ÓSEA (110),26715,diagnostico
901215,901218,CULTIVO PARA MICROORGANISMOS ANAEROBIOS DE CUALQUIER MUESTRA DIFERENTE A MEDULA OSEA,25670,diagnostico
901218,901216,CULTIVO PARA MICROORGANISMOS ANAEROBIOS EN MÉDULA ÓSEA (110),35605,diagnostico
901216,901217,"CULTIVO PARA MICROORGANISMOS EN CUALQUIER MUESTRA DIFERENTE A MEDULA OSEA, ORINA Y HECES",14115,diagnostico
901217,903423,"D- XILOSA, PRUEBA DE ABSORCIÓN",24645,diagnostico
903423,904809,DEHIDROEPIANDROSTERONA SULFATO [EPIANDROSTERONA -DHEA-SO4],27440,diagnostico
904809,904808,DEHIDROEPINANDROSTERONA,35385,diagnostico
904808,906207,"Dengue, ANTICUERPOS Ig G",29975,diagnostico
906207,906208,"Dengue, ANTICUERPOS Ig M",29975,diagnostico
906208,906209,"Dengue, ANTICUERPOS TOTALES",33435,diagnostico
906209,903011,DEOXIPIRIDINOLINA,57225,diagnostico
903011,M19328,DESHIDROGENASA HIDROXIBUTÍRICA [HBDH],21325,diagnostico
903424,903828,DESHIDROGENASA LÁCTICA [LDH],5750,diagnostico
903828,903829,"DESHIDROGENASA LÁCTICA, ISOENZIMAS",61220,diagnostico
903829,905602,"DIGITOXINA, SEMICUANTITATIVA POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",15290,diagnostico
905602,905605,"DIGOXINA, SEMICUANTITATIVA POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",19160,diagnostico
905605,902010,DILUCIONES DE TIEMPO DE PROTROMBINA [PT],31465,diagnostico
902010,902011,DILUCIONES DE TIEMPO DE TROMBOPLASTINA PARCIAL [PTT],31465,diagnostico
902011,902104,DÍMERO D POR EIA,29625,diagnostico
902104,902105,DÍMERO D POR LÁTEX,17265,diagnostico
902105,903012,DIOXIDO DE CARBÓN,11225,diagnostico
903012,E19340,DISOPIRAMIDA,13030,diagnostico
1935070,906417,"DNA n, ANTICUERPOS POR EIA",15090,diagnostico
906417,906418,"DNA n, ANTICUERPOS POR IFI",26595,diagnostico
906418,905727,DROGAS DE ABUSO NCOC,14425,diagnostico
905727,M19351,E19351,14035,diagnostico
1932560,906807,ELECTROFORESIS DE AMINOACIDOS EN ORINA,43415,diagnostico
906807,906808,ELECTROFORESIS DE HEMOGLOBINA EN MEDIO ÁCIDO,39515,diagnostico
906808,906809,ELECTROFORESIS DE HEMOGLOBINA EN MEDIO ALCALINO,33495,diagnostico
906809,906810,ELECTROFORESIS DE LIPOPROTEÍNAS,10655,diagnostico
906810,906811,ELECTROFORESIS DE PROTEÍNAS DE LCR [DETECCIÓN DE BANDAS OLIGOCLONALES],19315,diagnostico
906811,906812,ELECTROFORESIS DE PROTEÍNAS EN CUALQUIER LÍQUIDO INCLUIDO SUERO Y ORINA,25915,diagnostico
906812,906113,"Entamoeba histolítica, ANTICUERPOS POR EIA",5525,diagnostico
906113,906210,"Enterovirus, ANTICUERPOS",16605,diagnostico
906210,906212,"Epstein-barr, ANTICUERPOS Ig G [CÁPSULA EB-VCA-G] POR EIA",39640,diagnostico
906212,906213,"Epstein-barr, ANTICUERPOS Ig G [NUCLEARES EBNA-G] POR EIA",39640,diagnostico
906213,906214,"Epstein-barr, ANTICUERPOS Ig G [TEMPRANOS G] POR EIA",45585,diagnostico
906214,906215,"Epstein-barr, ANTICUERPOS Ig M [CÁPSULA EB-VCA-M] POR EIA",39640,diagnostico
906215,906216,"Epstein-barr, ANTICUERPOS Ig M [NUCLEARES EBNA-M] POR EIA",39640,diagnostico
906216,906217,"Epstein-barr, ANTICUERPOS Ig M [TEMPRANOS M] POR EIA",39640,diagnostico
906217,902106,ERITROPOYETINA,60780,diagnostico
902106,902204,ERITROSEDIMENTACIÓN [VELOCIDAD SEDIMENTACIÓN GLOBULAR - VSG],1440,diagnostico
902204,902205,ERITROSEDIMENTACIÓN [VELOCIDAD SEDIMENTACIÓN GLOBULAR - VSG] AUTOMATIZADA,1440,diagnostico
902205,901303,"Escherichia coli ENTEROPATÓGENA, EN MATERIA FECAL POR SEROTIPIFICACIÓN",18730,diagnostico
901303,906419,"ESPERMA O ESPERMATOZIODES, ANTICUERPOS POR CITOMETRÍA DE FLUJO",36520,diagnostico
906419,906420,"ESPERMA O ESPERMATOZIODES, ANTICUERPOS POR EIA",22740,diagnostico
906420,907201,ESPERMOGRAMA BÁSICO (230),12965,diagnostico
907201,903013,ESPERMOGRAMA CON BIOQUÍMICA (231),24645,diagnostico
903013,M19375,"ESTERASA PANCREÁTICA, ENZIMA ALFA NAFTIL-BUTIRATO",17845,diagnostico
903014,M19376,"ESTERASA PANCREÁTICA, ENZIMA ALFA NAFTIL-CLORACETATO",17845,diagnostico
903015,904503,ESTRADIOL,24645,diagnostico
904503,904401,ESTRADIOL PRE Y POST GONADOTROPINA CORIÓNICA,111170,diagnostico
904401,E19381,ESTREPTOMICINA,14145,diagnostico
1933447,905729,"ESTRIGNINA, SEMICUANTITATIVA POR CROMATOGRAFÍA DE CAPA FINA",13575,diagnostico
905729,904504,ESTRIOL,24430,diagnostico
904504,904506,ESTRÓGENOS [ESTRADIOL 17 BETA],13990,diagnostico
904506,901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA,6450,diagnostico
901304,901305,EXAMEN DIRECTO PARA HONGOS [KOH],3095,diagnostico
901305,902206,"EXTENDIDO DE SANGRE PERIFÉRICA, ESTUDIO DE MORFOLOGÍA",3480,diagnostico
902206,904101,FACTOR I DE CRECIMIENTO SIMILAR A LA INSULINA [SOMATOMEDINA C],40590,diagnostico
904101,902012,"FACTOR II DE LA COAGULACIÓN, CUANTIFICACIÓN [PROTROMBINA]",2185,diagnostico
902012,M19393,FACTOR III PLAQUETARIO,15230,diagnostico
902015,906813,"FACTOR INTRÍNSECO, ANTICUERPOS",30400,diagnostico
906813,902014,FACTOR IX DE LA COAGULACIÓN [CHRISTMAS O PTC],13910,diagnostico
902014,906910,FACTOR REMATOIDEO [R.A.] CUANTITATIVO POR NEFELOMETRÍA,30510,diagnostico
906910,906911,FACTOR REMATOIDEO [R.A.] SEMICUANTITATIVO POR LÁTEX,4820,diagnostico
906911,902016,FACTOR V DE LA COAGUALCIÓN [LÁBIL O PROACELERINA],13910,diagnostico
902016,902017,FACTOR VII DE LA COAGULACIÓN [ESTABLE O PROCONVERTINA],13910,diagnostico
902017,902018,FACTOR VIII DE LA COAGULACIÓN,13910,diagnostico
902018,902019,FACTOR VON WILLEBRAND,44500,diagnostico
902019,902020,FACTOR X [STUART POWER],13910,diagnostico
902020,902021,FACTOR XI [PTA],13910,diagnostico
902021,902022,"FACTOR XII [FACTOR DE HAGEMAN, DE CONTACTO]",13910,diagnostico
902022,902023,"FACTOR XIII [FSF, FACTOR ESTABILIZANTE DE LA FIBRINA O TIEMPO DE LISIS COÁGULO]",13910,diagnostico
