codigo,descripcion,ref,tipo,uvr,valor
015307,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA",015304,quirurgico,730.0,
015309,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR ORBITOTOMIA LATERAL",015307,quirurgico,730.0,
017201,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA",015309,quirurgico,730.0,
015311,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL ENDOSCOPICA (134)",017201,quirurgico,685.0,
071400,BIOPSIA DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),015311,quirurgico,635.0,
076200,ESCISION PARCIAL DE HIPOFISIS VIA TRANSESFENOIDAL SOD (134),071400,quirurgico,635.0,
076500,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),076200,quirurgico,685.0,
017401,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA",076500,quirurgico,945.0,
017801,"RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA , POR CRANEOTOMIA",017401,quirurgico,945.0,
075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,017801,quirurgico,945.0,
075400,ESCISION TOTAL DE GLANDULA PINEAL (PINEALECTOMIA) SOD,075300,quirurgico,945.0,
076100,ESCISION PARCIAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,075400,quirurgico,945.0,
076400,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,076100,quirurgico,945.0,
017301,"RESECCION TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL",076400,quirurgico,945.0,
017501,"RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMIA SUBOCCIPITAL",017301,quirurgico,945.0,
017504,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA SUBOCCIPITAL",017501,quirurgico,945.0,
017505,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA DE FOSA MEDIA",017504,quirurgico,945.0,
017508,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBOCCIPITAL",017505,quirurgico,945.0,
017509,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBTEMPORAL",017508,quirurgico,945.0,
015401,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA EXTREMO LATERAL",017509,quirurgico,945.0,
015402,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FRONTO ORBITO ETMOIDAL",015401,quirurgico,945.0,
015403,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",015402,quirurgico,945.0,
015404,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSORAL",015403,quirurgico,945.0,
015405,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA MAXILOTOMIA EXTENDIDA",015404,quirurgico,945.0,
015406,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSLABERINTICA",015405,quirurgico,945.0,
015407,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSCOCLEAR",015406,quirurgico,945.0,
015408,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FOSA MEDIA",015407,quirurgico,945.0,
015409,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA SUBOCCIPITAL RETROMASTOIDEA",015408,quirurgico,945.0,
017701,"RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMIA SUBOCCIPITAL",015409,quirurgico,945.0,
028302,COLOCACION EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,017701,quirurgico,290.0,
028304,IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION,028302,quirurgico,290.0,
028303,IMPLANTACION PARENQUIMATOSA DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,028304,quirurgico,230.0,
019100,LOBECTOMIA POR CRANEOTOMIA SOD,028303,quirurgico,375.0,
019200,LOBECTOMIA POR CRANIECTOMIA SOD,019100,quirurgico,375.0,
018101,HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA,019200,quirurgico,610.0,
018201,HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL,018101,quirurgico,610.0,
044101,"DESCOMPRESION NEUROVASCULAR DE NERVIO TRIGEMINAL, POR CRANEOTOMIA SUBOCCIPITAL",018201,quirurgico,355.0,
044203,DESCOMPRESION NEUROVASCULAR DE NERVIOS IX Y X,044101,quirurgico,355.0,
044204,DESCOMPRESION NEUROVASCULAR DE NERVIO ACUSTICO VESTIBULAR,044203,quirurgico,355.0,
044205,DESCOMPRESION INTRACANALICULAR DE NERVIO FACIAL,044204,quirurgico,355.0,
044206,"DESCOMPRESION NEUROVASCULAR DE NERVIO FACIAL , POR CRANEOTOMIA SUBOCCIPITAL",044205,quirurgico,355.0,
044207,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSLABERINTICA,044206,quirurgico,355.0,
044208,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSMASTOIDEA,044207,quirurgico,355.0,
013202,"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) , POR CRANEOTOMIA (132)",044208,quirurgico,335.0,
013106,"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL",01150,quirurgico,210.0,
022101,DERIVACION DE VENTRICULO A CISTERNA MAGNA,013106,quirurgico,210.0,
022202,DERIVACION VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL [TORKILSEN],022101,quirurgico,210.0,
022300,"COLOCACION DE CATETER VENTRICULO PERITONEAL, SIN VALVULA SOD",022202,quirurgico,210.0,
023201,DERIVACION VENTRICULOATRIAL,022300,quirurgico,210.0,
023401,VENTRICULOPERITONEOSTOMIA,023201,quirurgico,210.0,
023402,DERIVACION CISTO PERITONEAL [QUISTE VENTRICULAR A PERITONEO],023401,quirurgico,210.0,
023500,DERIVACION VENTRICULAR AL APARATO URINARIO SOD,023402,quirurgico,210.0,
549003,COLOCACION DE CATETERES PARA DERIVACION VENTRICULOPERITONEAL Y PERITONEOVENTRICULAR,023500,quirurgico,210.0,
013105,"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL",549003,quirurgico,210.0,
024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,013105,quirurgico,120.0,
024201,REEMPLAZO PARCIAL DE DERIVACION,024100,quirurgico,120.0,
024202,REEMPLAZO TOTAL DE DERIVACION,024201,quirurgico,140.0,
024300,RETIRO DE DERIVACION SOD,024202,quirurgico,125.0,
037100,DERIVACION SIRINGO PERITONEAL ESPINAL SOD,024300,quirurgico,190.0,
037200,DERIVACION SIRINGO SUBDURAL ESPINAL SOD,037100,quirurgico,190.0,
037300,DERIVACION LUMBO PERITONEAL SOD,037200,quirurgico,190.0,
037400,DERIVACION LUMBAR EXTERNA SOD,037300,quirurgico,190.0,
037500,DERIVACION SIRINGO PLEURAL ESPINAL SOD,037400,quirurgico,190.0,
022201,COLOCACION DE CATETER VENTRICULAR AL EXTERIOR,037500,quirurgico,150.0,
011304,BIOPSIA ESTEREOTAXICA DE CEREBRO (131),022201,quirurgico,250.0,
016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA (2),011304,quirurgico,250.0,
017002,"DRENAJE DE COLECCIONES INTRACEREBRALES , GUIADO POR ESTEREOTAXIA (2)",016401,quirurgico,250.0,
017005,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR , GUIADO POR ESTEREOTAXIA (2)",017002,quirurgico,250.0,
013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION [TERMOLESION] ESTEREOTAXICA,017005,quirurgico,420.0,
014101,TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS NUCLEOS],013201,quirurgico,420.0,
014201,PALIDOTOMIA POR ESTEREOTAXIA,014101,quirurgico,420.0,
028301,IMPLANTACION DE NEUROESTIMULADOR POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA,014201,quirurgico,320.0,
028601,INJERTO INTRACEREBRAL DE TEJIDO SUPRARRENAL,028301,quirurgico,320.0,
012101,CRANEALIZACION DE SENO FRONTAL,028601,quirurgico,230.0,
021101,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, POR CRANEOTOMIA",012101,quirurgico,135.0,
021102,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, CON PLASTIA DURAL",021101,quirurgico,135.0,
021103,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, POR CRANEOTOMIA",021102,quirurgico,135.0,
021104,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, CON PLASTIA AUTOLOGA O HETEROLOGA, POR CRANEOTOMIA",021103,quirurgico,135.0,
021202,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR DUROPLASTIA",021104,quirurgico,135.0,
035401,PLASTIA O INJERTO DE MENINGE ESPINAL,021202,quirurgico,135.0,
020500,"INSERCION O SUSTITUCION DE PLACA O MALLA CRANEAL (METALICA, ACRILICA) SOD",035401,quirurgico,190.0,
020601,CORRECCION DISPLASIA FIBROSA POR CRANEOPLASTIA,020500,quirurgico,190.0,
021201,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR CRANEOTOMIA Y CRANEOPLASTIA",020601,quirurgico,365.0,
021204,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA TRANSESFENOIDAL",021201,quirurgico,325.0,
021207,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR VIA TRANSESFENOIDAL",021204,quirurgico,325.0,
021203,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA SUBFRONTAL",021207,quirurgico,250.0,
021206,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR CRANIECTOMIA",021203,quirurgico,250.0,
021208,CORRECCION FISTULA EN LCR EN BASE DE CRANEO POSTERIOR POR VIA SUBOCCIPITAL,021206,quirurgico,250.0,
011302,BIOPSIA ABIERTA ( CRANEOTOMIA) DE CEREBRO,021208,quirurgico,210.0,
011303,BIOPSIA DE CEREBRO POR TREPANACION,011302,quirurgico,210.0,
071300,BIOPSIA DE HIPOFISIS POR VIA TRANSFRONTAL SOD,011303,quirurgico,210.0,
071700,BIOPSIA DE GLANDULA PINEAL SOD,071300,quirurgico,210.0,
017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,071700,quirurgico,385.0,
168401,DESCOMPRESIÓN DE ÓRBITA VIA TECHO DE ORBITA (TECNICA TRANSCRANEANA DE NAFZINGHER),017209,quirurgico,350.0,
168402,DESCOMPRESIÓN DE ÓRBITA VIA LATERAL (TECNICA DE KROMLIEN),168401,quirurgico,275.0,
168403,DESCOMPRESIÓN DE ÓRBITA VIA INFERIOR Y MEDIAL (TECNICA DE WALSH-OUGURA)VIA TRANSMAXILAR ENDOSCOPICA,168402,quirurgico,275.0,
015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA,168403,quirurgico,315.0,
028201,IMPLANTACION DE CATETER INTRACEREBRAL (3),015104,quirurgico,75.0,
028202,IMPLANTACION DE DISPOSITIVO EXTRADURAL,028201,quirurgico,75.0,
028203,"IMPLANTACION DE DISPOSITIVO INTRACEREBRAL ( ELECTRODOS, TRASDUCTORES DE PIC) (3)",028202,quirurgico,75.0,
025000,"IMPLANTE DE CATETER (INTRAVENTRICULAR, INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD (173)",028203,quirurgico,125.0,
035101,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON INSTRUMENTACION VIA POSTERIOR",01200,quirurgico,285.0,
035103,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON DESCOMPRESION VIA ANTERIOR",035101,quirurgico,270.0,
035107,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE CELE , DUROPLASTIA Y PLASTIA DE PIEL",035103,quirurgico,345.0,
035104,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON FUSION OSEA E INJERTO AUTOLOGO O HETEROLOGO",035107,quirurgico,435.0,
035105,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE TABIQUE OSEO",035104,quirurgico,270.0,
035106,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON SECCION DE FILUM TERMINALIS",035105,quirurgico,275.0,
035102,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON MIELOTOMIA POSTERIOR",035106,quirurgico,270.0,
035108,CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL [SENO DERMICO],035102,quirurgico,155.0,
934100,TRACCION ESPINAL CON EMPLEO DE DISPOSITIVO CRANEAL SOD,035108,quirurgico,65.0,
793930,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),934100,quirurgico,425.0,
793931,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),793930,quirurgico,425.0,
778931,RESECCION DE APOFISIS ODONTOIDES POR ABORDAJE TRANSORAL (94),793931,quirurgico,450.0,
792932,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA POSTERIOR,778931,quirurgico,310.0,
793932,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),792932,quirurgico,330.0,
793933,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),793932,quirurgico,330.0,
793937,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),793933,quirurgico,330.0,
793938,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),793937,quirurgico,330.0,
793942,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),793938,quirurgico,330.0,
793943,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),793942,quirurgico,330.0,
793946,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),793943,quirurgico,330.0,
793947,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),793946,quirurgico,330.0,
792931,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA ANTERIOR,793947,quirurgico,360.0,
792935,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA TORACICA O LUMBAR VIA ANTERIOR,792931,quirurgico,360.0,
793935,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),792935,quirurgico,375.0,
793936,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),793935,quirurgico,375.0,
793940,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),793936,quirurgico,375.0,
793941,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),793940,quirurgico,375.0,
793944,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),793941,quirurgico,375.0,
793945,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),793944,quirurgico,375.0,
793950,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97)",793945,quirurgico,475.0,
