ref,codigo,descripcion,uvr,tipo
013101,013102,"DRENAJE DE ESPACIO SUBDURAL , POR TREPANACION",285.0,quirurgico
013102,013104,"DRENAJE DE ESPACIO SUBDURAL , POR DRENAJE EXTERNO",285.0,quirurgico
013104,017001,"DRENAJE DE COLECCIONES INTRACEREBRALES , POR CRANEOTOMIA",525.0,quirurgico
017001,017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,590.0,quirurgico
017303,017805,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR,590.0,quirurgico
017805,017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR POR CRANEOTOMIA SUBOCCIPITAL,690.0,quirurgico
017004,012501,"SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA (171)",90.0,quirurgico
01121,385104,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CEREBRAL MEDIA",350.0,quirurgico
385104,385102,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CAROTIDA INTRACEREBRAL",350.0,quirurgico
385102,385103,"OCLUSION, PINZAMIENTO O LIGADURA DE CAROTIDA EN SENO CAVERNOSO",350.0,quirurgico
385103,385111,"OCLUSION, PINZAMIENTO O LIGADURA DE LESION EN ARTERIA VERTEBRAL",350.0,quirurgico
385111,385101,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL ANTERIOR",685.0,quirurgico
385101,385105,"OCLUSION, PINZAMIENTO O LIGADURA DE VASOS MENINGEOS Y/O SENOS DURALES",685.0,quirurgico
385105,385110,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL POSTERIOR",685.0,quirurgico
385110,383101,RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER I Y II,855.0,quirurgico
383101,383102,"RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER III, IV Y V",855.0,quirurgico
383102,383103,RESECCION DE MALFORMACIONES ARTERIO VENOSAS DE LINEA MEDIA E INTRAVENTRICULAR,855.0,quirurgico
383103,383104,RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER I Y II,880.0,quirurgico
383104,383105,"RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER III, IV Y V",880.0,quirurgico
383105,381203,ENDARTERECTOMIA DE CAROTIDA INTERNA PORCION CERVICAL (76),365.0,quirurgico
381203,381101,ENDARTERECTOMIA DE LA CAROTIDA INTERNA PORCION INTRACRANEAL (76),560.0,quirurgico
381101,380101,TROMBOEMBOLECTOMIA DE CEREBRAL MEDIA (367),560.0,quirurgico
380101,380102,TROMBOEMBOLECTOMIA DE COMUNICANTE ANTERIOR (367),560.0,quirurgico
380102,380103,TROMBOEMBOLECTOMIA DE CAROTIDA INTERNA SUPRACLINOIDEA (367),560.0,quirurgico
380103,380104,TROMBOEMBOLECTOMIA DE OFTALMICA (367),560.0,quirurgico
380104,383201,RESECCION DE MALFORMACION ARTERIOVENOSA DE CUERO CABELLUDO (172),165.0,quirurgico
01131,015101,"RESECCION TUMOR OSEO, POR CRANEOTOMIA",85.0,quirurgico
015101,015102,"RESECCION TUMOR OSEO, POR CRANIECTOMIA",100.0,quirurgico
015102,020401,"CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA, CON INJERTO AUTOLOGO O HETEROLOGO",240.0,quirurgico
020401,016101,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMIA",190.0,quirurgico
016101,016102,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA",305.0,quirurgico
016102,016201,"RESECCION TUMOR DE LA HOZ , POR CRANEOTOMIA Y PLASTIA",305.0,quirurgico
016201,016301,"RESECCION TUMOR DEL TENTORIO, POR CRANEOTOMIA",190.0,quirurgico
016301,015201,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTERIOR",730.0,quirurgico
015201,015203,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA ANTEROLATERAL Y RINOTOMIA LATERAL",730.0,quirurgico
015203,015204,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA TRANSZIGOMATICA Y TRANSPALATAL",730.0,quirurgico
015204,015302,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR",730.0,quirurgico
015302,015305,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBFRONTAL EXTENDIDA",730.0,quirurgico
015305,015306,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA POR VIA SUBTEMPORAL",700.0,quirurgico
015306,015308,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA SUBFRONTAL",730.0,quirurgico
015308,015310,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL",820.0,quirurgico
015310,017202,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA OSTEOPLASTICA",815.0,quirurgico
017202,017204,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, CON ESTIMULACION CORTICAL",700.0,quirurgico
017204,017601,"RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA",700.0,quirurgico
017601,015202,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA CRANEOFACIAL ANTEROLATERAL",730.0,quirurgico
015202,015301,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL",730.0,quirurgico
015301,015304,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA",730.0,quirurgico
015304,015307,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA",730.0,quirurgico
015307,015309,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR ORBITOTOMIA LATERAL",730.0,quirurgico
015309,017201,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA",730.0,quirurgico
017201,015311,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL ENDOSCOPICA (134)",685.0,quirurgico
015311,071400,BIOPSIA DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),635.0,quirurgico
071400,076200,ESCISION PARCIAL DE HIPOFISIS VIA TRANSESFENOIDAL SOD (134),635.0,quirurgico
076200,076500,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),685.0,quirurgico
076500,017401,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA",945.0,quirurgico
017401,017801,"RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA , POR CRANEOTOMIA",945.0,quirurgico
017801,075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,945.0,quirurgico
075300,075400,ESCISION TOTAL DE GLANDULA PINEAL (PINEALECTOMIA) SOD,945.0,quirurgico
075400,076100,ESCISION PARCIAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,945.0,quirurgico
076100,076400,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,945.0,quirurgico
076400,017301,"RESECCION TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
017301,017501,"RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
017501,017504,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
017504,017505,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA AXIALES), POR CRANEOTOMIA DE FOSA MEDIA",945.0,quirurgico
017505,017508,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
017508,017509,"RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBTEMPORAL",945.0,quirurgico
017509,015401,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA EXTREMO LATERAL",945.0,quirurgico
015401,015402,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FRONTO ORBITO ETMOIDAL",945.0,quirurgico
015402,015403,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",945.0,quirurgico
015403,015404,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSORAL",945.0,quirurgico
015404,015405,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA MAXILOTOMIA EXTENDIDA",945.0,quirurgico
015405,015406,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSLABERINTICA",945.0,quirurgico
015406,015407,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA TRANSCOCLEAR",945.0,quirurgico
015407,015408,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FOSA MEDIA",945.0,quirurgico
015408,015409,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA SUBOCCIPITAL RETROMASTOIDEA",945.0,quirurgico
015409,017701,"RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMIA SUBOCCIPITAL",945.0,quirurgico
017701,028302,COLOCACION EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,290.0,quirurgico
028302,028304,IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION,290.0,quirurgico
028304,028303,IMPLANTACION PARENQUIMATOSA DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,230.0,quirurgico
028303,019100,LOBECTOMIA POR CRANEOTOMIA SOD,375.0,quirurgico
019100,019200,LOBECTOMIA POR CRANIECTOMIA SOD,375.0,quirurgico
019200,018101,HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA,610.0,quirurgico
018101,018201,HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL,610.0,quirurgico
018201,044101,"DESCOMPRESION NEUROVASCULAR DE NERVIO TRIGEMINAL, POR CRANEOTOMIA SUBOCCIPITAL",355.0,quirurgico
044101,044203,DESCOMPRESION NEUROVASCULAR DE NERVIOS IX Y X,355.0,quirurgico
044203,044204,DESCOMPRESION NEUROVASCULAR DE NERVIO ACUSTICO VESTIBULAR,355.0,quirurgico
044204,044205,DESCOMPRESION INTRACANALICULAR DE NERVIO FACIAL,355.0,quirurgico
044205,044206,"DESCOMPRESION NEUROVASCULAR DE NERVIO FACIAL , POR CRANEOTOMIA SUBOCCIPITAL",355.0,quirurgico
044206,044207,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSLABERINTICA,355.0,quirurgico
044207,044208,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSMASTOIDEA,355.0,quirurgico
044208,013202,"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) , POR CRANEOTOMIA (132)",335.0,quirurgico
01150,013106,"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL",210.0,quirurgico
013106,022101,DERIVACION DE VENTRICULO A CISTERNA MAGNA,210.0,quirurgico
022101,022202,DERIVACION VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL [TORKILSEN],210.0,quirurgico
022202,022300,"COLOCACION DE CATETER VENTRICULO PERITONEAL, SIN VALVULA SOD",210.0,quirurgico
022300,023201,DERIVACION VENTRICULOATRIAL,210.0,quirurgico
023201,023401,VENTRICULOPERITONEOSTOMIA,210.0,quirurgico
023401,023402,DERIVACION CISTO PERITONEAL [QUISTE VENTRICULAR A PERITONEO],210.0,quirurgico
023402,023500,DERIVACION VENTRICULAR AL APARATO URINARIO SOD,210.0,quirurgico
023500,549003,COLOCACION DE CATETERES PARA DERIVACION VENTRICULOPERITONEAL Y PERITONEOVENTRICULAR,210.0,quirurgico
549003,013105,"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL",210.0,quirurgico
013105,024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,120.0,quirurgico
024100,024201,REEMPLAZO PARCIAL DE DERIVACION,120.0,quirurgico
024201,024202,REEMPLAZO TOTAL DE DERIVACION,140.0,quirurgico
024202,024300,RETIRO DE DERIVACION SOD,125.0,quirurgico
024300,037100,DERIVACION SIRINGO PERITONEAL ESPINAL SOD,190.0,quirurgico
037100,037200,DERIVACION SIRINGO SUBDURAL ESPINAL SOD,190.0,quirurgico
037200,037300,DERIVACION LUMBO PERITONEAL SOD,190.0,quirurgico
037300,037400,DERIVACION LUMBAR EXTERNA SOD,190.0,quirurgico
037400,037500,DERIVACION SIRINGO PLEURAL ESPINAL SOD,190.0,quirurgico
037500,022201,COLOCACION DE CATETER VENTRICULAR AL EXTERIOR,150.0,quirurgico
022201,011304,BIOPSIA ESTEREOTAXICA DE CEREBRO (131),250.0,quirurgico
011304,016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA (2),250.0,quirurgico
016401,017002,"DRENAJE DE COLECCIONES INTRACEREBRALES , GUIADO POR ESTEREOTAXIA (2)",250.0,quirurgico
017002,017005,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR , GUIADO POR ESTEREOTAXIA (2)",250.0,quirurgico
017005,013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION [TERMOLESION] ESTEREOTAXICA,420.0,quirurgico
013201,014101,TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS NUCLEOS],420.0,quirurgico
014101,014201,PALIDOTOMIA POR ESTEREOTAXIA,420.0,quirurgico
014201,028301,IMPLANTACION DE NEUROESTIMULADOR POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA,320.0,quirurgico
028301,028601,INJERTO INTRACEREBRAL DE TEJIDO SUPRARRENAL,320.0,quirurgico
028601,012101,CRANEALIZACION DE SENO FRONTAL,230.0,quirurgico
012101,021101,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, POR CRANEOTOMIA",135.0,quirurgico
021101,021102,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, CON PLASTIA DURAL",135.0,quirurgico
021102,021103,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, POR CRANEOTOMIA",135.0,quirurgico
021103,021104,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, CON PLASTIA AUTOLOGA O HETEROLOGA, POR CRANEOTOMIA",135.0,quirurgico
021104,021202,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR DUROPLASTIA",135.0,quirurgico
021202,035401,PLASTIA O INJERTO DE MENINGE ESPINAL,135.0,quirurgico
035401,020500,"INSERCION O SUSTITUCION DE PLACA O MALLA CRANEAL (METALICA, ACRILICA) SOD",190.0,quirurgico
020500,020601,CORRECCION DISPLASIA FIBROSA POR CRANEOPLASTIA,190.0,quirurgico
020601,021201,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR CRANEOTOMIA Y CRANEOPLASTIA",365.0,quirurgico
021201,021204,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA TRANSESFENOIDAL",325.0,quirurgico
021204,021207,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR VIA TRANSESFENOIDAL",325.0,quirurgico
021207,021203,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA SUBFRONTAL",250.0,quirurgico
021203,021206,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR CRANIECTOMIA",250.0,quirurgico
021206,021208,CORRECCION FISTULA EN LCR EN BASE DE CRANEO POSTERIOR POR VIA SUBOCCIPITAL,250.0,quirurgico
021208,011302,BIOPSIA ABIERTA ( CRANEOTOMIA) DE CEREBRO,210.0,quirurgico
011302,011303,BIOPSIA DE CEREBRO POR TREPANACION,210.0,quirurgico
011303,071300,BIOPSIA DE HIPOFISIS POR VIA TRANSFRONTAL SOD,210.0,quirurgico
071300,071700,BIOPSIA DE GLANDULA PINEAL SOD,210.0,quirurgico
071700,017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,385.0,quirurgico
017209,168401,DESCOMPRESIÓN DE ÓRBITA VIA TECHO DE ORBITA (TECNICA TRANSCRANEANA DE NAFZINGHER),350.0,quirurgico
168401,168402,DESCOMPRESIÓN DE ÓRBITA VIA LATERAL (TECNICA DE KROMLIEN),275.0,quirurgico
168402,168403,DESCOMPRESIÓN DE ÓRBITA VIA INFERIOR Y MEDIAL (TECNICA DE WALSH-OUGURA)VIA TRANSMAXILAR ENDOSCOPICA,275.0,quirurgico
168403,015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA,315.0,quirurgico
015104,028201,IMPLANTACION DE CATETER INTRACEREBRAL (3),75.0,quirurgico
028201,028202,IMPLANTACION DE DISPOSITIVO EXTRADURAL,75.0,quirurgico
028202,028203,"IMPLANTACION DE DISPOSITIVO INTRACEREBRAL ( ELECTRODOS, TRASDUCTORES DE PIC) (3)",75.0,quirurgico
028203,025000,"IMPLANTE DE CATETER (INTRAVENTRICULAR, INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD (173)",125.0,quirurgico
01200,035101,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON INSTRUMENTACION VIA POSTERIOR",285.0,quirurgico
035101,035103,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON DESCOMPRESION VIA ANTERIOR",270.0,quirurgico
035103,035107,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE CELE , DUROPLASTIA Y PLASTIA DE PIEL",345.0,quirurgico
035107,035104,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON FUSION OSEA E INJERTO AUTOLOGO O HETEROLOGO",435.0,quirurgico
035104,035105,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE TABIQUE OSEO",270.0,quirurgico
035105,035106,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON SECCION DE FILUM TERMINALIS",275.0,quirurgico
035106,035102,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON MIELOTOMIA POSTERIOR",270.0,quirurgico
035102,035108,CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL [SENO DERMICO],155.0,quirurgico
035108,934100,TRACCION ESPINAL CON EMPLEO DE DISPOSITIVO CRANEAL SOD,65.0,quirurgico
934100,793930,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),425.0,quirurgico
793930,793931,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),425.0,quirurgico
793931,778931,RESECCION DE APOFISIS ODONTOIDES POR ABORDAJE TRANSORAL (94),450.0,quirurgico
778931,792932,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA POSTERIOR,310.0,quirurgico
792932,793932,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
793932,793933,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
793933,793937,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
793937,793938,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
793938,793942,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
793942,793943,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
793943,793946,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330.0,quirurgico
793946,793947,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330.0,quirurgico
793947,792931,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA ANTERIOR,360.0,quirurgico
792931,792935,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA TORACICA O LUMBAR VIA ANTERIOR,360.0,quirurgico
792935,793935,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375.0,quirurgico
793935,793936,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375.0,quirurgico
793936,793940,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375.0,quirurgico
793940,793941,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375.0,quirurgico
793941,793944,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375.0,quirurgico
793944,793945,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375.0,quirurgico
793945,793950,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97)",475.0,quirurgico
793950,793951,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION MODULAR (97)",475.0,quirurgico
793951,028400,COLOCACION DE TRACTOR CEFALICO [HALO CHALECO] SOD,55.0,quirurgico
028400,028500,EXTRACCIÓN DE TRACTOR CEFALICO [HALO CHALECO] SOD,35.0,quirurgico
028500,030101,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA,220.0,quirurgico
